company,rank,rank_change,revenue,revenue_change,profit,profit_change,assets,employees,industry,sector,country,city,state,newcomer,ceo_founder,ceo_woman,profitable,years_on_global_500_list,previous_rank,prev_rank,CEO,Website,Ticker,Market_Cap
Pacific Construction Group,149,-74.0,64037.7,-34.3,2218.1,-35.8,44740.8,295281,Engineering & Construction,Engineering & Construction,China,Urumqi,,no,,no,yes,8,75.0,,Yan Hao,https://www.cpcg.com.cn,,
Siemens,150,-76.0,63935.5,-34.7,4509.4,-22.7,145207.3,293000,Industrial Machinery,Industrials,Germany,Munich,,no,,no,yes,27,74.0,,Roland Busch,https://www.siemens.com,SIEGY,138026
Sinochem,151,-42.0,63544.0,-20.9,809.1,70.9,97620.3,72237,Trading,Wholesalers,China,Beijing,,no,,no,yes,26,109.0,,Ning Gaoning,https://www.sinochem.com,,
Engie,152,7.0,63525.4,-5.5,-1750.2,-258.9,187464.1,172703,Energy,Energy,France,Courbevoie,,no,,yes,no,26,159.0,,Catherine MacGregor,https://www.engie.com,ENGIY,32416
Legal & General Group,153,-68.0,63324.5,-30.1,2061.0,-11.9,779962.4,10099,"Insurance: Life, Health (stock)",Financials,Britain,London,,no,,no,yes,20,85.0,,Nigel Wilson,https://www.legalandgeneralgroup.com,LGGNY,21589
Panasonic,154,-1.0,63191.3,-8.3,1557.2,-25,61908.4,243540,"Electronics, Electrical Equip.",Technology,Japan,Osaka,,no,,no,yes,27,153.0,,Yuki Kusumi,https://www.panasonic.com/global,PCRFY,29208
Reliance Industries,155,-59.0,62912.1,-25.3,6619.4,19.3,180648.9,236334,Petroleum Refining,Energy,India,Mumbai,,no,,no,yes,18,96.0,,Mukesh D. Ambani,https://www.ril.com,,186590
Brookfield Asset Management,156,-1.0,62752.0,-7.5,-134.0,-104.8,343696,151000,Diversified Financials,Financials,Canada,"Toronto, Ontario",,no,,no,no,5,155.0,,J. Bruce Flatt,https://www.brookfield.com,BAM,81119
Aviva,157,-69.0,62579.3,-30.2,3588.4,10.4,655964.5,28930,"Insurance: Life, Health (stock)",Financials,Britain,London,,no,,yes,yes,26,88.0,,Amanda Blanc,https://www.aviva.com,AVVIY,20951
China Pacific Insurance (Group),158,35.0,61185.7,9.7,3562.9,-11.3,271418.2,110940,"Insurance: Life, Health (stock)",Financials,China,Shanghai,,no,,no,yes,11,193.0,,Fu Fan,https://www.cpic.com.cn,CHPXF,39081
Lenovo,159,65.0,60742.3,19.8,1178.3,77.2,37990.6,71500,"Computers, Office Equipment",Technology,China,Hong Kong,,no,,no,yes,12,224.0,,Yang Yuanqing,https://www.lenovo.com,LNVGY,13286
China Vanke,160,48.0,60740.7,14.1,6016.7,6.9,286473.7,140565,Real estate,Financials,China,Shenzhen,,no,,no,yes,6,208.0,,Zhu Jiusheng,https://www.vanke.com,CHVKF,40399
ChemChina,161,3.0,60491.9,-8,-815.6,,131406.4,141250,Chemicals,Chemicals,China,Beijing,,no,,no,no,11,164.0,,Yang Xingqiang,https://www.chemchina.com,,
China Merchants Bank,162,27.0,60433.2,5.6,14107.5,4.9,1281448,90867,Banks: Commercial and Savings,Financials,China,Shenzhen,,no,,no,yes,10,189.0,,Tian Huiyu,https://www.cmbchina.com,CIHKY,197863
China Merchants Group,163,72.0,60280.7,22.7,5919.4,13.1,340740.9,246002,"Mail, Package, and Freight Delivery",Transportation,China,Hong Kong,,no,,no,yes,4,235.0,,Miao Jianmin,https://www.cmhk.com,,
Valero Energy,164,-93.0,60115.0,-41.5,-1421.0,-158.7,51774,9964,Petroleum Refining,Energy,U.S.,San Antonio,Texas,no,,no,no,21,71.0,,Joseph W. Gorder,https://www.valero.com,VLO,25948
